"Manufacturer","Model","SKU","Description","Finish","Diameter","Width","Bolt Pattern","Offset","Backspace","GTIN","Bore","Lugs","Lug Type","Max Load lbs","Cost","AC-EDM","AC-OAK","MAP","Image 1","Image 2","Image 3","Image 4","Image 5","Image 6"
"GT OFFROAD","STRIKE","GT972093124","STRIKE 20x9 6x135 12 Chrome","Chrome","20","9","6x135","12","5.5","","87.1","6","2500","2500","293.25","20","0","391","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/dc76a08c-b12b-4966-905d-03a5c3b267e9.png","","","","",""
"GT OFFROAD","STRIKE","GT922108165118GB","STRIKE 22x10 8x165.1 -18 Gloss Black","Gloss Black","22","10","8x165.1","-18","4.75","","125.2","8","3200","3200","281.25","2","0","375","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/eb46943e-c446-43a8-a715-64b23a9c95bf.png","","","","",""
"GT OFFROAD","AGGRESSION","GT32212448170GBMR","AGGRESSION 22x12 8x170 -44 Gloss Black Milled Red","Gloss Black Milled Red","22","12","8x170","-44","4.75","","125.2","8","","3200","281.25","0","4","375","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/685d53e9-e2cb-40a2-9a1c-1db5ffd482f6.png","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/c757c7e3-5bd4-4c82-9c2c-9244e23fd7c4.png","","","",""
"GT OFFROAD","AGGRESSION","GT8418961122","AGGRESSION 18x9 6x135/6x139.7 12 Gloss Black","Gloss Black","18","9","6x135/6x139.7","12","5.5","","106.1","6","","2500","206.25","148","-8","275","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/1f4f57de-6afd-4c6b-974e-1e66614ed4f7.png","","","","",""
"GT OFFROAD","STRIKE","GT9424121444","STRIKE 24x12 5x127 -44 Gloss Black","Gloss Black","24","12","5x127","-44","4.75","","87.1","0","2500","2500","335.25","35","-6","447","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/eb46943e-c446-43a8-a715-64b23a9c95bf.png","","","","",""
"GT OFFROAD","STRIKE","GT9209817012GB","STRIKE 20x9 8x170 12 Gloss Black","Gloss Black","20","9","8x170","12","5.5","","125.2","8","3200","3200","247.5","10","4","330","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/eb46943e-c446-43a8-a715-64b23a9c95bf.png","","","","",""
"GT OFFROAD","TOMAHAWK","GT117221051121","TOMAHAWK 22x10 5x127/5x139.7 -18 Chrome","Chrome","22","10","5x127/5x139.7","-18","4.75","","78.1","0","2500","2500","346.5","0","0","462","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/59292df2-7a51-410b-a724-0b04216af300.png","","","","",""
"GT OFFROAD","STARK","GT12720981123","STARK 20x9 8x165.1/8x170 12 Chrome","Chrome","20","9","8x165.1/8x170","12","5.5","","125.2","8","3200","3200","293.25","36","4","391","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/095fa7c7-4309-4c06-b2fc-5cfee3fd73b5.png","","","","",""
"GT OFFROAD","STRIKE","GT9726143764","STRIKE 26x14 6x135 -76 Chrome","Chrome","26","14","6x135","-76","4.5","","87.1","6","2500","2500","613.5","60","4","818","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/dc76a08c-b12b-4966-905d-03a5c3b267e9.png","","","","",""
"GT OFFROAD","STRIKE","GT9526146763","STRIKE 26x14 8x170 -76 Polished","Polished","26","14","8x170","-76","4.5","","125.2","8","3200","3200","573.75","20","4","765","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/effb6b10-aac8-4999-8150-aaa67ed2f162.png","","","","",""
"GT OFFROAD","AGGRESSION","GT820108165118GB","AGGRESSION 20x10 8x165.1 -18 Gloss Black","Gloss Black","20","10","8x165.1","-18","4.75","","125.2","8","","3200","260.25","24","0","347","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/1f4f57de-6afd-4c6b-974e-1e66614ed4f7.png","","","","",""
"GT OFFROAD","TOMAHAWK","GT113241251121","TOMAHAWK 24x12 5x127/5x139.7 -44 Gloss Black","Gloss Black","24","12","5x127/5x139.7","-44","4.75","","78.1","0","2500","2500","335.25","30","0","447","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/4fac3cd9-f95b-4743-8e96-eef095813955.png","","","","",""
"GT OFFROAD","TOMAHAWK","GT112241461122","TOMAHAWK 24x14 6x135/6x139.7 -76 Gloss Black Milled","Gloss Black Milled","24","14","6x135/6x139.7","-76","4.5","","106.1","6","2500","2500","353.25","40","4","471","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/ed550975-7e40-490c-b197-dbd7891190c4.png","","","","",""
"GT OFFROAD","TOMAHAWK","GT117241281123","Tomahawk 24x12 8x165.1 / 8x170 -44 Chrome","Chrome","24","12","8x165.1/8x170","-44","0","","0","8","2200","2200","496.5","32","-4","662","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/59292df2-7a51-410b-a724-0b04216af300.png","","","","",""
"GT OFFROAD","STRIKE","GT9722127443","STRIKE 22x12 8x180 -44 Chrome","Chrome","22","12","8x180","-44","4.75","","125.2","8","3200","3200","360","39","-4","480","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/dc76a08c-b12b-4966-905d-03a5c3b267e9.png","","","","",""
